Title,Link
Disrupting malicious uses of AI by state-affiliated threat actors,https://openai.com/blog/disrupting-malicious-uses-of-ai-by-state-affiliated-threat-actors
Memory and new controls for ChatGPT,https://openai.com/blog/memory-and-new-controls-for-chatgpt
New embedding models and API updates,https://openai.com/blog/new-embedding-models-and-api-updates
Democratic inputs to AI grant program: lessons learned and implementation plans,https://openai.com/blog/democratic-inputs-to-ai-grant-program-update
How OpenAI is approaching 2024 worldwide elections,https://openai.com/blog/how-openai-is-approaching-2024-worldwide-elections
Introducing ChatGPT Team,https://openai.com/blog/introducing-chatgpt-team
Introducing the GPT Store,https://openai.com/blog/introducing-the-gpt-store
OpenAI and journalism,https://openai.com/blog/openai-and-journalism
Superalignment Fast Grants,https://openai.com/blog/superalignment-fast-grants
Partnership with Axel Springer to deepen beneficial use of AI in journalism,https://openai.com/blog/axel-springer-partnership
"Sam Altman returns as CEO, OpenAI has a new initial board",https://openai.com/blog/sam-altman-returns-as-ceo-openai-has-a-new-initial-board
OpenAI announces leadership transition,https://openai.com/blog/openai-announces-leadership-transition
OpenAI Data Partnerships,https://openai.com/blog/data-partnerships
Introducing GPTs,https://openai.com/blog/introducing-gpts
New models and developer products announced at DevDay,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
Frontier risk and preparedness,https://openai.com/blog/frontier-risk-and-preparedness
Frontier Model Forum updates,https://openai.com/blog/frontier-model-forum-updates
DALL·E 3 is now available in ChatGPT Plus and Enterprise,https://openai.com/blog/dall-e-3-is-now-available-in-chatgpt-plus-and-enterprise
"ChatGPT can now see, hear, and speak",https://openai.com/blog/chatgpt-can-now-see-hear-and-speak
OpenAI Red Teaming Network,https://openai.com/blog/red-teaming-network
